,clean_teks,label
0,jalan jatibarupolisi gertak gubernur emangny polisi pmbhasan politik atur wilayahhak gubernur tn abang turun temurunpelikperlu sabar username username url,0
1,cewek lho kayak rasain sibuk jaga rasain sakit haid panik pulang malam gimana orang asing wajar korban takut curhat bela hujat,0
2,kepingin gudeg mbarek bu hj amad foto google sengaja biar temanteman bayang bagi indah,1
3,jalan jatibarubagian wilayah tn abangpengaturan wilayah tgg wwnang gubtng abng rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat pihakmohon otakberpikirlah wajarkecuali otak butekya url,0
4,sharing alam kemarin jam batalin tiket stasiun pasar senin lancar antri ramai menit beress coba twips jamjam segitu cc username,1
5,sekian thread baca thread aneh sih tulis sumpah aneh ngatain lebay bikin thread aduh jago nulis tulis beranta thread mbak,0
6,sharing teman tuh saat berat teman berat apa banding,1
7,orang pakai ponco jas hujan pakai kasur ya gara saking mamak bilang tuh pernik ngalamin madu orang tidur nya pakai ponco gimane madu,2
8,contoh gemar sudut teriak toleran gemar tuduh gemar menjudge dasar versi,0
9,pulang h lebaran dilema rumah lebaran buka puasa bareng keluarga sahur,2
10,min rakyat indonesia harap nya tinggal tni lihat serang kantor media unsur pidana hina presiden indonesia sah lucu lucu an tni url,0
11,fansite ngejual hasil jepret uang nya lari idol beliin hadiah kpopers ya fansite jaman kamera bening,0
12,syukur doa kakek karno anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h,1
13,sulit terima nyata anggap interaksi orang golong langsung golong ajar utuh klaim,2
14,samanye maling si jancok si anjing si siluman monyet hahahahaha hati maling,0
15,ku ngamuk bacain komen netizen mahabenar ya lord abis pikir komen macem gin bikin leceh seksual tenggelam hukum laku sedih rerata komen jahat perempuan mbaq sehat loh url,0
16,sempat hadir tuk buat aman nyaman hormat,3
17,sedap kali ya tidur kasur ku tidur tidur baca pakai logat mamak dahlia keluarga badak,0
18,h bank ramai ampe antri duduk luar toko emas luber ampe mbak jual swalayan antri kasir naudzubilah bahagia kayak moga oh moga rs sepi pasien sembuh pulang bahagia,1
19,hancur negara kelola amatir kenpak username indah statementnya negara miskin koordinasi gagah seta salah anulir marwahmu mr username presiden url,0
20,budaya cari baca ya kali diaturgaada tentu khusus pakai,0
21,paruh hati iri anak duduk jalan ibunda paruh hati empat anak gundah ibunda sakit sabar ya kawan moga allah baik,2
22,senyum hidup sempurna syukur tuhan ku,1
23,tidur tidur bangun tidur yaa aneh enak hati bawa istighfar bangun tidur sedih mikir puguh coba,2
24,peluk engkau erat rebut mu peluk ku happy anniversary sayang nov months,3
25,ganti presiden calon adu program kerja koalisi ditentuin bisa kaos tagar,0
26,sukses n keren no kualitasbhn krjaitu cita pu waris ampe cusukses tims bbpjn barokah limpah,1
27,sarjana kali mbokya mulut nya tinggal ajar dosa sakit hati orang mending diam kasihan nya julidin orang,0
28,gimana orang nilai jilbabsyaringgak nya kadang gemez orang kelas diam eh grup bisa nyeletuk arah social harassment,0
29,jadwal presentasi proker lppm praktikum ketua teman sekretaris tanggung sekretaris deg deg an bismillah ketua btw pen upload foto ketua yaa,4
30,foto instagram lupa password instanya buka salah perintah instagram pakai password tuh lupa begoloe,0
31,drama kmarin sore hari puasa pas mandi kaget bcz datang tamu undang pas woi pas adzan maghrib galau hari anggap sah puasa enggak,4
32,sungguh cinta berat pisah dengan hadiahperasaan username bikin baper sukses lupa lapar url,2
33,pas kirim si kurir telepon keluh malas gerak alamat ketemu titik itu susah no putar arah arah kendara jalan,0
34,lewat bayang betapa sulit lalu ajar ajar ajar petik hikmah petik depan,1
35,pasang seringkali rumah nyaman sama nyaman rumah pulang tuju,3
36,ya sakit hati memamg sulit nya jenjang rumah tangga publik situasi inimedia jahat selesai lontar,4
37,ponakan kelas sd suka nonton video tutorial masak craft youtube kelas sd baca novel marga t amp mira pinjam sepupu,1
38,bberapa sejahtera keluarga makmak teus tingkat sampai suami pangkat paham pangkat tni pokok hidup bekecukupan,1
39,dukung doa sikap pilih upaya mempertahankannyadisini bahagia lihat sedih kebahagianku pudarseperti terima undang nikah,2
40,jnejnt pakai kirim paketbeli olshop jastip kota beda pulau maksimal pakai mobil susah cari alamat bingung masuk kompleksgang malam bain jalan rumah paket kirim,1
41,gemes orang anggap wajar leceh sexual verbal verbal fisik apa benar,0
42,hukum main musik stad haroooom hukum dosa main kirakira cakap pena ustad buah acara tv intro pakai musik,4
43,hebat mardani oeang mulut fakta capres lagipula koalisi pks gerindra yaow,0
44,oh iya nya ngelahirin anak cewek nya tahun kasih nikmat uji si makmak kali berat tinggal suami tinggal singel parent,2
45,z suka twitter soalny perempuan ji teman biar omel tablengker ndada bahaya bahas monsteration bebas bahas puasa bebas update status stres monsteration pi blok cowok mengupdate,1
46,ngerti ciwiciwi nyinyirin via vallen korban loh susah support gurlzz,0
47,libur rencana nonton jurassic world kayak deh kondisi fit kesal rusak rencana belanga kesal,0
48,nunggu anak anteng sabar luas samudra bapak bikin anak nang hmmm ingin marah lampias,0
49,ku rindu bisik mu telinga seraya moga kelak anak guna orang moga sayang orang tua mu,3
50,hasil sekolah sekolah mikirlah mahkamah internasional wenang adil perkara genosida dsbnya,0
51,elu teh asumsi guw mah kacang kulit maksud hayo maksud loooo,0
52,web permata profesional program cashback ribu token pln klik info masuk program paket kuota data piye iki,0
53,takut mas tumpang politik balut agama bahaya masyarakat sensitif,4
54,cerita siapa hancur hidup pikirin gimana hati ku sedih nang tetes air mata kayak lirik lagu sayang pia palen deh wkwkw,2
55,puasa saur siang rasa makan saur supeerrr dupeerr ekspress menit imsak bangun yassalaaam,2
56,thr apbd kuasa takut garis bawah kpk ggl thr ya buk tri bilang aman takut,4
57,tolong bantu username ya lptop kali buka dokumen not respondingpdhal bawa hp center moga lptop produk gagal gimanabeli maret gin jgkel,0
58,masuk proses jual pas buka detail ko gin produk proses proses tanggal,0
59,username semen indonesia nambang loh rembangmalah usaha lokasi meter areal tambang semen protes tahun lamanyaknp pas semen protes,0
60,bilang anak senang sodorin anak tantrum ngantuk tidur istigfar kencang,0
61,oon bicara orang lalai rubah siklus alur,2
62,sahabat cowok nih nya konsisten bohong sih kali dimarahin bohong mempan kodrat suka bohong gimana,0
63,libur lebaran tuh cepat gendong cerrier pakai sepatu pergi ketemu alam damai dengan,1
64,bilang kafir gabung khilafah bro alih isu selundup kaum bumidatar pro pancasila username url,0
65,btw doa restu orang tua giling ya pas mentok cari literatur tambah temu rumah kemarin panik kudu pesan banyumas berkah ramadan url,1
66,salah contoh terima kasih pas kenal pi wannaone ckckckc juang ma ko deh wanna ones swing entertainment warns legal action against fansite masters url via username,0
67,pgi rasa sakit perut kirain haid beli kiranti pas cek kaga tolong atulah haid biar solat ied,4
68,duka cita kawan a cak moga keluarga tinggal a sabar amp meridoi pergi alm sajete wani,2
69,username jaring mati ya buka mobile jkn puskesmes piye tunjuk kartu elektoniknya kecewa,0
70,lahir sekolah bong pki bong bandit rampok jenis menganggu orang soeharto bilang kejam orang pki bandit rampok bong bong bongakkk url,0
71,dulunya usaha karyawan bawaannye usaha ngatur flexible duit faaak,0
72,salah efek rapi bom orang bikin event negara takut jogja indonesia event internasional negara konfirmasi takut rapi teror moga rapi lekas reda moga bom,2
73,baik gubernur anies baswedan mosi percaya biar lengser username username username username username username username username username username url,0
74,kaum oposisi bikin geger media termsk medsos rupiah kuat musim ribut khusus lemah salah presiden username url,0
75,puasa pagi kesana kemari mmbawa alamat eh ayuting kali enggk ding siang tetangga sbelah goreng telur yah bau idung hikss piye sih mbak,2
76,username heee kemarin ngeliat hoak tetang pohon plastik kali akun ygdisebarkan facebook nol skaligus nonjok muka junjung sdr terima kasih,0
77,username min gimana kurir salah kirim alamat orang tanggung jawab gimana tolong respon cepat thanks url,0
78,pas habis baca buku bule pdkt bilang cariin rumah samamobil dicariin mobil rumah mewah si bule oke niat kirim uang jt pakai pos bilang hadiah masuk akal kirim pakai pos url,4
79,username username username username uang konsumsi buka puasa bareng anak yatim bayar katering,0
80,niat masjid sholat nya lantai harap obob manjah solat fact fullhouse mpe shaf selamat tinggal,2
81,excited bicara orang kreatif cengang ide pikir oleh oh iya pikir,1
82,miris cipta karya susah payah uras pikirantenagawaktu materi kalah oknum jiplak danatau dar terima beres manfaat karya orang gimmik sensasi gimana username,0
83,belah stereotypingnya nyata coba salah bicara bagus kecam dengar suara benar bagus kalah keras salah atas url,0
84,tipikal cowok menye menye ajak argumen salah orang keluh manusia maha sempurna pen ngatain goblok puasa,0
85,tiada henti ny ucap syukut alhmdllh uang panitia kemarin alhmdllh trmkah bri brlmpah sbrpa inysllh lma mmbukit amn url,1
86,bicara apakayaknya dendam aniespernah sakit olh gub aniessalah anies kpdmuknp dendamkamu klmpok dki puny gubanies url tempat maki aniessalah url,0
87,group keluarga bicara mudik duuh mudik daya suami libur h lebaran telepon suruh masuk habis sholat eid langsung kerja,2
88,orang kalah tarung politik sulit sembuh raih impi hilang harta,2
89,nggada sinyal rumah buat berfikir berfikir pikir random,2
90,kabar tuduh chat mesum imam habib rizieq henti mohon bantu doa moga moga suci ramadhan buka mata hati menyidikamin,4
91,ngecengin ya gaes username username username orang blog ya nulisnya jam dinihari sih,4
92,cari orang sudut ansor sabar bagus terus fitnah salah tinggal diam,0
93,halohaa selamat siang denise pulang sekolah nih lupa makan siang ya oh iya gimana sehat sehat ya banyak istirahat kakak nunggu tweet k,3
94,bodoh mu bong suruh baca baca pbb cikal bakal masyumi pbb keluarga bintang masyumi dasar bong,0
95,mudah terupload z mudik fans modal quota butuh daerah jaring bagus hiksss hitung jam br slsi z download rumah pi,4
96,orang dukung khilafah black mail username username username username username username username username username username username username username username url,0
97,sok akrab ye mention mention maling sukses malingnye balas mentionan salamsatunyalilari bonekjancuk url,0
98,alhamdulillah prof bicara malam username adem moga bawa berkah amin yaa rabbal aalamiin,1
99,keren kirakira bilang username antiislam triliun hektar kampus rujuk islam dunia kelas alazhar proyek ponpes madrasah masjid fasilitas ummat bilang beliau an,1
100,username bicara tuh mba mba help desk ngerti mbanya emosi yaudah jawab pulang,0
101,tuh digituin pas ketemu apsara awat gendut sih senyum iya hati bacot anjing,0
102,sifat buruk rubah tambah umur ubah biasa buruk sulit ya hobi sih,4
103,berdesakanbejubelan krl salah goda berpuasaapalagi d nya wanita cantik kunyah gejrothehe,4
104,username belanjaitugakribet slogan doangstelah dkomplen dbatalin nama jamin profesional yatrus nyampein official store batalinpdhl samsek batalinjd kal,0
105,happy birthday to us username and happy th anniv wkwkwk bentar putus huhu cari pacar url,1
106,baca komennya bilang musik haram bla bla fanatik dar suka gimana,4
107,rabu anakbujangku selesai tempuh didik tk bhakti bakauheni eit piala jugak hehehe,1
108,hidup zaman presiden hebat soeharto beliau aman tenang masyarakat tenang kaum pki kaum rampok kaum bandit kaum jabat negara otak kosong kaum suka soeharto url,0
109,segenap dewan guru terimakasih bimbing anak bu moga ibuibu mudah urus ilmu ajar amal jariah pahala alir url,1
110,cuek sih risih nyaman ya hati pokok ajak nongkrong breng,0
111,anugerah gigi rapi lahir syukur pakai behel sakit sakit hati menurutguesih,2
112,alhamdulillah piedi rsup kariadi urus panas langsung kasih paracetamol botol,1
113,username project jatohnya scam fraud asli coba deh bawa creator creator bawa kabur duit orang ranah hukum indonesia,0
114,via vallen sepakat nikita mirzani lebay suka tinggal tolak block orang share konsumsi publik kek tampil polos dosa gimana gituu menurutkusih,0
115,ngerusuh balai desa pas pulang bu lurah mba ulfah teman sih hah teman buk oo bu lurah iya bareng senin berangkat lho wait senin,4
116,mba pps tuh apaapa mba ulfa sebentar sebentar sih senin berangkat bikin khawatir tt,4
117,aduh cewek pikir jahat jari jari jahat nikmat heh mbak nyanyi dangdut auto lonte lonte kena sexual harassment mbaaaak,0
118,ngapa si galau galau diam senang diam mangat kak nanas senang nularin orang loh wkwk,2
119,juta kali bong kasih harto kejam pki bandit rampok turun kelompok bong hahahahaha,0
120,sebentar ketemu krucilkrucil ponakan gemesin suka nya main berantemberanteman seru sih ya resiko pegelpegel sedikitsedikit ngajarin hitung jadilebihbaik pas masuk sekolah,1
121,negara hilang dapat cukai rokok hutang negara ah benar coba lihat dapat url,0
122,eh numbuhin brewok nyenengin sih compliment cowok bonus rawat langsung tumbuh liar gatal,4
123,kost deket kantor telat siang tidur selonjor sofa teman kantor kaya gin dikatain tahi sih,0
